LINE MaC_1-16_1
Ne3_3869A 6.91e-14
H1r_3889A 1.492e-14
Ne3_3968A 2.935e-14
H1r_3970A 0.0
H1r_4102A 1.802e-14
H1r_4341A 2.809e-14
O3_4363A 3.19e-15
He1r_4471A 3.023e-15
He2r_4686A 0.0
Ar4_4711A 1.733e-15
Ar4_4740A 9.762e-16
H1r_4861A 6.754e-14
O3_4959A 1.801e-13
O3_5007A 5.409e-13
N1_5200A 8.131e-15
Ca5_5309A 0.0
He2r_5411A 1.459e-15
Cl3_5518A 0.0
Cl3_5538A 0.0
N2_5755A 6.618e-15
He1r_5876A 1.818e-14
O1_6300A 3.171e-14
S3_6312A 1.869e-15
O1_6364A 1.09e-14
Ar5_6435A 0.0
N2_6548A 1.985e-13
H1r_6563A 2.56e-13
N2_6584A 5.987e-13
He1r_6678A 6.572e-15
S2_6716A 6.135e-14
S2_6731A 6.041e-14
Ar5_7005A 0.0
He1r_7065A 4.609e-15
Ar3_7136A 2.638e-14
Ar4_7170A 0.0
Ar4_7237A 0.0
Ar4_7263A 0.0
O2_7319A 1.735e-14
Ar3_7751A 1.208e-14
